Эксперимент,Алгоритм,Размер N,Процессы,Время,Ускорение,Эффективность,Погрешность
1,cannon,128,4,0.000199,5.569292,1.392323,0.000000
2,cannon,256,4,0.006403,3.618283,0.904571,0.000000
3,cannon,512,4,0.028342,11.481694,2.870423,0.000000
4,cannon,1024,4,0.606575,4.235325,1.058831,0.000000
5,cannon,128,16,0.016440,0.071597,0.004475,525.000000
6,cannon,256,16,0.004948,2.349520,0.146845,938.000000
7,cannon,512,16,0.043412,6.346819,0.396676,1196.000000
8,cannon,1024,16,0.241336,15.948434,0.996777,1814.000000
